PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),Cluster_Assignment
1360.0,1046.0,1056.0,1692.0,1268.0,2
1292.0,955.0,1174.0,1559.0,972.0,2
1402.0,939.0,1140.0,1555.0,1074.0,2
1376.0,948.0,1092.0,1584.0,1203.0,2
1272.0,836.0,1205.0,1490.0,1110.0,2
1197.0,750.0,1337.0,1393.0,949.0,0
1185.0,690.0,1462.0,1333.0,733.0,0
1136.0,672.0,1453.0,1333.0,730.0,0
1094.0,609.0,1579.0,1276.0,620.0,0
1010.0,561.0,1705.0,1235.0,501.0,0
1011.0,527.0,1818.0,1197.0,445.0,0
1066.0,512.0,1918.0,1182.0,422.0,0
1052.0,553.0,1738.0,1221.0,472.0,0
1144.0,667.0,1490.0,1339.0,730.0,0
1333.0,900.0,1136.0,1517.0,1102.0,2
1351.0,960.0,1079.0,1583.0,1028.0,2
1233.0,827.0,1218.0,1446.0,860.0,2
1179.0,762.0,1328.0,1362.0,671.0,0
1236.0,774.0,1301.0,1401.0,664.0,0
1286.0,869.0,1162.0,1537.0,799.0,2
1371.0,1034.0,983.0,1730.0,1037.0,2
1310.0,933.0,1082.0,1647.0,946.0,2
1292.0,912.0,1103.0,1591.0,957.0,2
1383.0,1020.0,1008.0,1719.0,1104.0,2
1581.0,1319.0,799.0,2083.0,1409.0,1
1776.0,1488.0,702.0,2333.0,1704.0,1
1640.0,1404.0,743.0,2191.0,1654.0,1
1313.0,1076.0,957.0,1707.0,1285.0,2
965.0,749.0,1325.0,1333.0,821.0,0
913.0,629.0,1565.0,1252.0,552.0,0
1080.0,805.0,1254.0,1375.0,816.0,0
1044.0,829.0,1247.0,1378.0,832.0,0
988.0,718.0,1396.0,1304.0,692.0,0
889.0,574.0,1680.0,1187.0,512.0,0
831.0,506.0,1893.0,1134.0,384.0,0
847.0,501.0,1895.0,1155.0,394.0,0
927.0,571.0,1685.0,1223.0,487.0,0
1091.0,730.0,1387.0,1361.0,748.0,0
1587.0,1236.0,897.0,1900.0,1400.0,1
1545.0,1353.0,767.0,2058.0,1588.0,1
1350.0,1118.0,912.0,1712.0,1237.0,2
1263.0,1037.0,969.0,1598.0,1167.0,2
1206.0,986.0,1035.0,1537.0,959.0,2
1252.0,1016.0,1008.0,1593.0,983.0,2
1287.0,1078.0,949.0,1660.0,1061.0,2
1353.0,1122.0,922.0,1740.0,1139.0,2
1309.0,1073.0,954.0,1657.0,1112.0,2
1274.0,1041.0,1006.0,1610.0,994.0,2
1510.0,1277.0,812.0,1910.0,1410.0,1
1525.0,1246.0,821.0,1847.0,1448.0,1
1843.0,1610.0,624.0,2390.0,1887.0,1
1598.0,1299.0,752.0,1941.0,1627.0,1
1484.0,1127.0,839.0,1723.0,1491.0,1
1677.0,1346.0,741.0,2062.0,1657.0,1
1280.0,964.0,963.0,1544.0,1285.0,2
1196.0,873.0,1071.0,1463.0,1144.0,2
1184.0,782.0,1176.0,1365.0,1043.0,2
1172.0,783.0,1179.0,1380.0,996.0,2
1147.0,821.0,1132.0,1412.0,992.0,2
978.0,625.0,1420.0,1274.0,819.0,0
1100.0,646.0,1406.0,1268.0,835.0,0
1112.0,770.0,1228.0,1409.0,940.0,0
1336.0,1043.0,935.0,1678.0,1192.0,2
1408.0,1153.0,830.0,1777.0,1411.0,1
1447.0,1081.0,869.0,1667.0,1465.0,1
1542.0,1184.0,808.0,1780.0,1583.0,1
1451.0,1117.0,875.0,1679.0,1387.0,1
1328.0,1059.0,987.0,1600.0,1101.0,2
1207.0,924.0,1088.0,1488.0,850.0,2
1240.0,947.0,1049.0,1532.0,947.0,2
1306.0,987.0,1004.0,1554.0,1078.0,2
1326.0,1000.0,976.0,1602.0,1084.0,2
1473.0,1163.0,831.0,1779.0,1395.0,1
1609.0,1286.0,758.0,1922.0,1612.0,1
1611.0,1274.0,754.0,1915.0,1697.0,1
1621.0,1247.0,762.0,1860.0,1886.0,1
1444.0,1089.0,844.0,1748.0,1624.0,1
1418.0,1010.0,892.0,1603.0,1536.0,1
1534.0,1013.0,889.0,1611.0,1535.0,1
1484.0,1045.0,880.0,1624.0,1530.0,1
1367.0,925.0,953.0,1543.0,1337.0,2
1344.0,968.0,921.0,1620.0,1278.0,2
1130.0,773.0,1130.0,1452.0,1051.0,2
1062.0,691.0,1272.0,1377.0,929.0,0
1076.0,618.0,1395.0,1333.0,872.0,0
1028.0,615.0,1384.0,1340.0,853.0,0
1155.0,722.0,1225.0,1414.0,959.0,0
1235.0,828.0,1055.0,1527.0,1093.0,2
1332.0,923.0,952.0,1614.0,1225.0,2
1445.0,1009.0,878.0,1696.0,1355.0,1
1416.0,1002.0,907.0,1677.0,1262.0,2
1281.0,880.0,1084.0,1525.0,980.0,2
1207.0,879.0,1104.0,1490.0,872.0,2
1258.0,906.0,1081.0,1511.0,900.0,2
1458.0,1045.0,974.0,1646.0,1099.0,2
1438.0,1051.0,943.0,1668.0,1206.0,2
1478.0,1055.0,929.0,1671.0,1262.0,1
1808.0,1312.0,753.0,1993.0,1698.0,1
1898.0,1381.0,681.0,2103.0,1905.0,1
1560.0,1140.0,784.0,1818.0,1648.0,1
1324.0,940.0,924.0,1587.0,1423.0,2
1349.0,933.0,933.0,1617.0,1349.0,2
1239.0,872.0,985.0,1547.0,1250.0,2
1239.0,853.0,1010.0,1543.0,1174.0,2
1224.0,855.0,998.0,1566.0,1149.0,2
1078.0,734.0,1128.0,1487.0,1021.0,2
1078.0,711.0,1150.0,1468.0,1013.0,0
1075.0,703.0,1156.0,1464.0,1010.0,0
1157.0,830.0,1030.0,1584.0,1083.0,2
1314.0,966.0,897.0,1710.0,1235.0,2
1797.0,1451.0,652.0,2323.0,1680.0,1
1961.0,1701.0,537.0,2665.0,2184.0,1
1771.0,1470.0,622.0,2262.0,1973.0,1
1564.0,1300.0,710.0,2029.0,1798.0,1
1430.0,1120.0,831.0,1783.0,1522.0,1
1417.0,1146.0,830.0,1831.0,1404.0,1
1400.0,1162.0,838.0,1829.0,1263.0,1
1317.0,1053.0,926.0,1707.0,1137.0,2
1318.0,1033.0,950.0,1675.0,1068.0,2
1445.0,1141.0,857.0,1824.0,1252.0,1
1917.0,1601.0,631.0,2447.0,1843.0,1
2040.0,1754.0,542.0,2679.0,2122.0,1
1895.0,1573.0,565.0,2443.0,1992.0,1
1595.0,1294.0,678.0,2058.0,1707.0,1
1439.0,1159.0,764.0,1856.0,1494.0,1
1142.0,852.0,1008.0,1547.0,1164.0,2
1304.0,1019.0,852.0,1731.0,1272.0,2
1074.0,784.0,1098.0,1483.0,1040.0,2
968.0,640.0,1320.0,1386.0,867.0,0
929.0,608.0,1376.0,1364.0,826.0,0
941.0,626.0,1316.0,1373.0,840.0,0
937.0,585.0,1412.0,1348.0,793.0,0
1017.0,681.0,1246.0,1418.0,870.0,0
1171.0,770.0,1162.0,1467.0,930.0,2
1541.0,1185.0,770.0,1889.0,1407.0,1
1539.0,1287.0,698.0,2055.0,1507.0,1
1735.0,1431.0,628.0,2211.0,1843.0,1
1571.0,1297.0,730.0,1973.0,1729.0,1
1452.0,1250.0,776.0,1868.0,1583.0,1
1579.0,1359.0,724.0,1998.0,1671.0,1
1466.0,1309.0,773.0,1897.0,1491.0,1
1280.0,1136.0,893.0,1675.0,1240.0,2
1407.0,1197.0,905.0,1759.0,1313.0,1
1389.0,1173.0,898.0,1739.0,1363.0,1
1447.0,1235.0,859.0,1778.0,1296.0,1
1551.0,1271.0,800.0,1875.0,1432.0,1
1474.0,1173.0,854.0,1776.0,1432.0,1
1800.0,1426.0,700.0,2106.0,2034.0,1
1379.0,1101.0,818.0,1710.0,1602.0,1
1201.0,943.0,935.0,1560.0,1362.0,2
1205.0,925.0,922.0,1547.0,1314.0,2
1072.0,784.0,1066.0,1442.0,1114.0,2
998.0,714.0,1169.0,1383.0,992.0,0
933.0,625.0,1292.0,1332.0,884.0,0
883.0,577.0,1396.0,1303.0,808.0,0
869.0,554.0,1460.0,1268.0,667.0,0
891.0,576.0,1417.0,1289.0,733.0,0
1173.0,878.0,1038.0,1556.0,1052.0,2
1587.0,1334.0,702.0,1999.0,1534.0,1
1852.0,1696.0,553.0,2535.0,1931.0,1
1522.0,1331.0,703.0,2026.0,1734.0,1
1438.0,1161.0,819.0,1782.0,1595.0,1
1393.0,1067.0,905.0,1654.0,1490.0,1
1452.0,1152.0,861.0,1747.0,1508.0,1
1389.0,1108.0,887.0,1712.0,1334.0,1
1207.0,994.0,1013.0,1520.0,1045.0,2
1365.0,1154.0,940.0,1679.0,1221.0,2
1247.0,1060.0,1032.0,1525.0,1069.0,2
1557.0,1478.0,793.0,1981.0,1569.0,1
1973.0,1737.0,617.0,2414.0,2306.0,1
1975.0,1667.0,597.0,2416.0,2359.0,1
1795.0,1485.0,653.0,2174.0,2050.0,1
1444.0,1150.0,770.0,1727.0,1727.0,1
1488.0,1171.0,731.0,1778.0,1705.0,1
1371.0,1083.0,796.0,1669.0,1551.0,1
1161.0,904.0,947.0,1502.0,1240.0,2
1064.0,787.0,1057.0,1407.0,1115.0,2
970.0,687.0,1196.0,1351.0,969.0,0
954.0,645.0,1260.0,1334.0,925.0,0
931.0,623.0,1293.0,1307.0,828.0,0
938.0,650.0,1251.0,1333.0,893.0,0
1166.0,885.0,1005.0,1551.0,1075.0,2
1643.0,1384.0,667.0,2094.0,1610.0,1
1934.0,1682.0,541.0,2468.0,2051.0,1
1617.0,1333.0,686.0,2010.0,1819.0,1
1473.0,1127.0,831.0,1752.0,1568.0,1
1379.0,1068.0,899.0,1663.0,1374.0,1
1385.0,1056.0,891.0,1648.0,1268.0,2
1379.0,1087.0,901.0,1660.0,1144.0,2
1322.0,1129.0,934.0,1639.0,1109.0,2
1496.0,1205.0,822.0,1767.0,1347.0,1
1409.0,1131.0,873.0,1689.0,1206.0,1
1513.0,1338.0,764.0,1957.0,1397.0,1
1667.0,1464.0,683.0,2118.0,1588.0,1
1667.0,1453.0,684.0,2051.0,1569.0,1
1430.0,1121.0,814.0,1732.0,1322.0,1
1333.0,989.0,885.0,1621.0,1194.0,2
1262.0,911.0,948.0,1545.0,1062.0,2
1287.0,936.0,918.0,1606.0,1040.0,2
1134.0,840.0,1021.0,1501.0,917.0,2
999.0,688.0,1229.0,1380.0,594.0,0
961.0,622.0,1382.0,1301.0,430.0,0
934.0,569.0,1440.0,1280.0,397.0,0
913.0,525.0,1620.0,1260.0,370.0,0
969.0,607.0,1373.0,1324.0,438.0,0
1182.0,845.0,1054.0,1539.0,704.0,2
1740.0,1372.0,671.0,2144.0,1476.0,1
1819.0,1582.0,575.0,2456.0,1716.0,1
1427.0,1275.0,701.0,1980.0,1398.0,1
1390.0,1191.0,759.0,1879.0,1268.0,1
1283.0,1117.0,813.0,1751.0,1188.0,2
1304.0,1157.0,793.0,1801.0,1171.0,1
1364.0,1202.0,771.0,1875.0,1250.0,1
1410.0,1268.0,724.0,1957.0,1344.0,1
1476.0,1280.0,708.0,1955.0,1378.0,1
1522.0,1320.0,690.0,2005.0,1435.0,1
1442.0,1301.0,704.0,1952.0,1372.0,1
1469.0,1344.0,677.0,1997.0,1471.0,1
1467.0,1292.0,698.0,1942.0,1439.0,1
1421.0,1202.0,748.0,1854.0,1429.0,1
1175.0,945.0,904.0,1604.0,1081.0,2
1215.0,912.0,948.0,1547.0,993.0,2
1127.0,802.0,1064.0,1447.0,837.0,2
1090.0,773.0,1105.0,1429.0,761.0,0
1017.0,718.0,1182.0,1382.0,650.0,0
997.0,677.0,1252.0,1359.0,591.0,0
945.0,646.0,1308.0,1332.0,505.0,0
956.0,661.0,1260.0,1351.0,518.0,0
966.0,622.0,1317.0,1342.0,571.0,0
1064.0,728.0,1161.0,1461.0,842.0,0
1300.0,935.0,902.0,1623.0,1145.0,2
1348.0,998.0,834.0,1689.0,1218.0,2
1425.0,1068.0,776.0,1764.0,1341.0,1
1474.0,1061.0,768.0,1768.0,1406.0,1
1490.0,1039.0,782.0,1757.0,1422.0,1
1495.0,1040.0,809.0,1735.0,1373.0,1
1376.0,953.0,900.0,1636.0,1153.0,2
1305.0,884.0,980.0,1573.0,927.0,2
1283.0,844.0,1036.0,1539.0,766.0,2
1392.0,967.0,930.0,1649.0,941.0,2
1452.0,1063.0,856.0,1774.0,1146.0,1
1633.0,1199.0,734.0,1919.0,1417.0,1
1625.0,1191.0,733.0,1885.0,1442.0,1
1535.0,1108.0,785.0,1820.0,1323.0,1
1323.0,973.0,864.0,1712.0,1125.0,2
1309.0,937.0,905.0,1672.0,1036.0,2
1456.0,999.0,835.0,1714.0,1202.0,1
1300.0,872.0,941.0,1577.0,1054.0,2
1203.0,823.0,1004.0,1526.0,903.0,2
1195.0,836.0,987.0,1554.0,885.0,2
1117.0,802.0,1029.0,1539.0,818.0,2
1062.0,711.0,1136.0,1461.0,700.0,0
947.0,594.0,1300.0,1390.0,580.0,0
1065.0,687.0,1143.0,1492.0,815.0,0
1155.0,734.0,1062.0,1528.0,1035.0,2
1220.0,782.0,996.0,1560.0,1067.0,2
1301.0,862.0,914.0,1633.0,1114.0,2
1279.0,870.0,911.0,1646.0,1000.0,2
1267.0,883.0,953.0,1617.0,906.0,2
1239.0,848.0,981.0,1568.0,822.0,2
1128.0,742.0,1144.0,1507.0,610.0,0
