record_id,domain,condition,input_type,input_value,input_unit,replicate,time_step,signal,signal_unit,expected_signal,baseline_signal,voltage_v,current_a,stress_mpa,reference_stress_mpa,temperature_c,normalized_signal,error_percent,power,stress_ratio,rolling_average,ml_ready
B001,Biochem,low_concentration,concentration,0.1,mM,1,1,0.12,absorbance,0.12,0.1,,,,,25,1.2,0.0,,,0.12,True
B004,Biochem,medium_concentration,concentration,0.5,mM,1,1,0.49,absorbance,0.5,0.1,,,,,25,4.8999999999999995,-2.0000000000000018,,,0.305,True
B007,Biochem,high_concentration,concentration,1.0,mM,1,1,0.98,absorbance,1.0,0.1,,,,,25,9.799999999999999,-2.0000000000000018,,,0.5299999999999999,True
E001,Electronics,low_load,load,10.0,ohm,1,1,4.95,V,5.0,5.0,4.95,0.2,,,35,0.99,-0.9999999999999963,0.9900000000000001,,2.14,True
E004,Electronics,medium_load,load,20.0,ohm,1,1,4.7,V,4.7,5.0,4.7,0.24,,,40,0.9400000000000001,0.0,1.128,,3.543333333333333,True
E007,Electronics,high_load,load,40.0,ohm,1,1,4.25,V,4.25,5.0,4.25,0.3,,,48,0.85,0.0,1.275,,4.633333333333333,True
M004,Mechanical,medium_load,load,100.0,N,1,1,1.1,mm,1.1,0.5,,,150.0,200.0,28,2.2,0.0,,0.75,3.35,True
M001,Mechanical,low_load,load,50.0,N,1,1,0.5,mm,0.5,0.5,,,80.0,100.0,28,1.0,0.0,,0.8,1.95,True
M007,Mechanical,high_load,load,150.0,N,1,1,1.75,mm,1.75,0.5,,,230.0,300.0,28,3.5,0.0,,0.7666666666666667,1.1166666666666667,True
E005,Electronics,medium_load,load,20.0,ohm,2,2,4.65,V,4.7,5.0,4.65,0.25,,,41,0.93,-1.0638297872340388,1.1625,,2.3000000000000003,True
B005,Biochem,medium_concentration,concentration,0.5,mM,2,2,0.52,absorbance,0.5,0.1,,,,,25,5.2,4.0000000000000036,,,2.3066666666666666,True
M005,Mechanical,medium_load,load,100.0,N,2,2,1.08,mm,1.1,0.5,,,148.0,200.0,28,2.16,-1.8181818181818195,,0.74,2.0833333333333335,True
M002,Mechanical,low_load,load,50.0,N,2,2,0.52,mm,0.5,0.5,,,82.0,100.0,28,1.04,4.0000000000000036,,0.82,0.7066666666666667,True
E002,Electronics,low_load,load,10.0,ohm,2,2,4.9,V,5.0,5.0,4.9,0.21,,,36,0.9800000000000001,-1.9999999999999927,1.0290000000000001,,2.1666666666666665,True
B008,Biochem,high_concentration,concentration,1.0,mM,2,2,1.02,absorbance,1.0,0.1,,,,,25,10.2,2.0000000000000018,,,2.1466666666666665,True
B002,Biochem,low_concentration,concentration,0.1,mM,2,2,0.11,absorbance,0.12,0.1,,,,,25,1.0999999999999999,-8.33333333333333,,,2.0100000000000002,True
M008,Mechanical,high_load,load,150.0,N,2,2,1.8,mm,1.75,0.5,,,235.0,300.0,28,3.6,2.85714285714286,,0.7833333333333333,0.9766666666666667,True
E008,Electronics,high_load,load,40.0,ohm,2,2,4.3,V,4.25,5.0,4.3,0.31,,,49,0.86,1.17647058823529,1.333,,2.07,True
E006,Electronics,medium_load,load,20.0,ohm,3,3,4.68,V,4.7,5.0,4.68,0.24,,,40,0.9359999999999999,-0.42553191489362685,1.1232,,3.5933333333333333,True
B006,Biochem,medium_concentration,concentration,0.5,mM,3,3,0.51,absorbance,0.5,0.1,,,,,25,5.1,2.0000000000000018,,,3.1633333333333336,True
B003,Biochem,low_concentration,concentration,0.1,mM,3,3,0.13,absorbance,0.12,0.1,,,,,25,1.3,8.333333333333341,,,1.7733333333333332,True
E003,Electronics,low_load,load,10.0,ohm,3,3,4.92,V,5.0,5.0,4.92,0.2,,,35,0.984,-1.6000000000000014,0.984,,1.8533333333333333,True
B009,Biochem,high_concentration,concentration,1.0,mM,3,3,1.01,absorbance,1.0,0.1,,,,,25,10.1,1.0000000000000009,,,2.02,True
E009,Electronics,high_load,load,40.0,ohm,3,3,4.1,V,4.25,5.0,4.1,0.35,,,50,0.82,-3.5294117647058907,1.4349999999999998,,3.3433333333333333,True
M006,Mechanical,medium_load,load,100.0,N,3,3,1.11,mm,1.1,0.5,,,152.0,200.0,28,2.22,0.9090909090909097,,0.76,2.0733333333333333,True
M003,Mechanical,low_load,load,50.0,N,3,3,0.51,mm,0.5,0.5,,,81.0,100.0,28,1.02,2.0000000000000018,,0.81,1.9066666666666665,True
M009,Mechanical,high_load,load,150.0,N,3,3,2.1,mm,1.75,0.5,,,270.0,300.0,28,4.2,20.000000000000004,,0.9,1.24,True
